Quelle	Jahr	Wort	Frequenz
S	1953	Aktivist	2.971360247122089
S	1953	Abschreiber	0.5942720494244178
S	1953	Albaner	0.5942720494244178
S	1953	Abonnent	0.5942720494244178
S	1953	Adressat	1.1885440988488356
S	1953	Alkoholgegner	0.5942720494244178
S	1953	Alleininhaber	0.5942720494244178
S	1953	Alleinherrscher	0.5942720494244178
S	1953	Abiturient	1.1885440988488356
S	1953	Alterspräsident	4.159904345970925
S	1953	Alleinbesitzer	0.5942720494244178
S	1953	Altsparer	4.159904345970925
S	1953	Aerodynamiker	1.1885440988488356
S	1953	Afrikaner	1.7828161482732534
S	1953	Altwarenhändler	0.5942720494244178
S	1953	Abnehmer	1.1885440988488356
S	1953	Aktienbesitzer	1.1885440988488356
S	1953	Aftermieter	0.5942720494244178
S	1953	Amateur	4.754176395395342
S	1953	Amsterdamer	2.971360247122089
S	1953	Adjunkt	0.5942720494244178
S	1953	Altonaer	0.5942720494244178
S	1953	Alexandriner	0.5942720494244178
S	1953	Amtschef	4.754176395395342
S	1953	Andalusier	1.7828161482732534
S	1953	Amtsnachfolger	1.1885440988488356
S	1953	Ambassadeur	1.1885440988488356
S	1953	Aachener	0.5942720494244178
S	1953	Anfänger	6.536992543668596
S	1953	Andorraner	0.5942720494244178
S	1953	Angreifer	4.754176395395342
S	1953	Allgäuer	2.971360247122089
S	1953	Abendländer	0.5942720494244178
S	1953	Angler	1.1885440988488356
S	1953	Agnostiker	0.5942720494244178
S	1953	Anklagevertreter	1.7828161482732534
S	1953	Agrarier	0.5942720494244178
S	1953	Anhänger	41.59904345970925
S	1953	Antifaschist	0.5942720494244178
S	1953	Agronom	0.5942720494244178
S	1953	Ankläger	12.479713037912774
S	1953	Antisemit	0.5942720494244178
S	1953	Anstifter	0.5942720494244178
S	1953	Anrainer	0.5942720494244178
S	1953	Ägypter	19.610977631005788
S	1953	Antikommunist	1.1885440988488356
S	1953	Anlieger	1.1885440988488356
S	1953	Antragsgegner	1.7828161482732534
S	1953	Anwärter	5.9427204942441785
S	1953	Akademiker	2.971360247122089
S	1953	Absolvent	0.5942720494244178
S	1953	Araber	16.6396173838837
S	1953	Akkordarbeiter	0.5942720494244178
S	1953	Argentinier	2.377088197697671
S	1953	Arbeitervertreter	1.1885440988488356
S	1953	Arrangeur	0.5942720494244178
S	1953	Apostel	10.102624840215103
S	1953	Arbeitgeber	4.754176395395342
S	1953	Ansager	3.565632296546507
S	1953	Artikelschreiber	1.1885440988488356
S	1953	Akteur	1.1885440988488356
S	1953	Aristokrat	0.5942720494244178
S	1953	Aspirant	1.1885440988488356
S	1953	Arbeitsminister	5.9427204942441785
S	1953	Ausbilder	2.377088197697671
S	1953	Assessor	5.34844844481976
S	1953	Asket	1.7828161482732534
S	1953	Athener	4.159904345970925
S	1953	Auslandskorrespondent	0.5942720494244178
S	1953	Auftraggeber	11.291168939063938
S	1953	Arbeitnehmer	11.291168939063938
S	1953	Ausbrecher	0.5942720494244178
S	1953	Aufpasser	1.1885440988488356
