A-Junior	A-Juniorin
Althändler	Althändlerin
Altkanzler	Altkanzlerin
Altkatholik	Altkatholikin
Altkleiderhändler	Altkleiderhändlerin
Altonaer	Altonaerin
Altrocker	Altrockerin
Altruist	Altruistin
Altsparer	Altsparerin
Altsprachler	Altsprachlerin
Alttestamentler	Alttestamentlerin
Altwarenhändler	Altwarenhändlerin
Amateur	Amateurin
Amateurboxer	Amateurboxerin
Amateurfilmer	Amateurfilmerin
Amateurfotograf	Amateurfotografin
Amateurfunker	Amateurfunkerin
Amateurfußballer	Amateurfußballerin
Amateursportler	Amateursportlerin
Ambassadeur	Ambassadeurin
Amerikanist	Amerikanistin
Amokfahrer	Amokfahrerin
Amokläufer	Amokläuferin
Amoralist	Amoralistin
Amsterdamer	Amsterdamerin
Amtschef	Amtschefin
Amtsdiener	Amtsdienerin
Amtsgerichtsdirektor	Amtsgerichtsdirektorin
Amtsgerichtspräsident	Amtsgerichtspräsidentin
Amtsinhaber	Amtsinhaberin
Amtsleiter	Amtsleiterin
Amtsnachfolger	Amtsnachfolgerin
Amtsrichter	Amtsrichterin
Amtsträger	Amtsträgerin
Amtsverweser	Amtsverweserin
Amtsvorgänger	Amtsvorgängerin
Amtsvorsteher	Amtsvorsteherin
Anabaptist	Anabaptistin
Anachronist	Anachronistin
Anakreontiker	Anakreontikerin
Analphabet	Analphabetin
Analysand	Analysandin
Analysator	Analysatorin
Analytiker	Analytikerin
Anarchist	Anarchistin
Anarchosyndikalist	Anarchosyndikalistin
Anästhesist	Anästhesistin
Anatolier	Anatolierin
Anatom	Anatomin
Anbeter	Anbeterin
Anbieter	Anbieterin
Andalusier	Andalusierin
Andorraner	Andorranerin
Anfänger	Anfängerin
Anfrager	Anfragerin
Angeber	Angeberin
Angler	Anglerin
Anglikaner	Anglikanerin
Anglist	Anglistin
Angloamerikaner	Angloamerikanerin
Anglokanadier	Anglokanadierin
Angolaner	Angolanerin
Angreifer	Angreiferin
Angrenzer	Angrenzerin
Angriffsspieler	Angriffsspielerin
Angstgegner	Angstgegnerin
Angstmacher	Angstmacherin
Anhaltiner	Anhaltinerin
Anhänger	Anhängerin
Anheizer	Anheizerin
Animator	Animatorin
Animist	Animistin
Ankäufer	Ankäuferin
Ankeraktionär	Ankeraktionärin
Ankermieter	Ankermieterin
Ankläger	Anklägerin
Anklagevertreter	Anklagevertreterin
Ankleider	Ankleiderin
Anlageberater	Anlageberaterin
Anlagenbauer	Anlagenbauerin
Anlagenführer	Anlagenführerin
Anleger	Anlegerin
Anleiter	Anleiterin
Anlieger	Anliegerin
Anmacher	Anmacherin
Anmelder	Anmelderin
Annalist	Annalistin
Annexionist	Annexionistin
Anpasser	Anpasserin
Anrainer	Anrainerin
Anreger	Anregerin
Anrufer	Anruferin
Ansager	Ansagerin
Anschaffer	Anschafferin
Anschieber	Anschieberin
Anschläger	Anschlägerin
Anschreiber	Anschreiberin
Anschwärzer	Anschwärzerin
Ansiedler	Ansiedlerin
Ansporner	Anspornerin
Ansprecher	Ansprecherin
Ansprechpartner	Ansprechpartnerin
Anstaltsleiter	Anstaltsleiterin
Anstifter	Anstifterin
Anstößer	Anstößerin
Anstreicher	Anstreicherin
Ansucher	Ansucherin
Antagonist	Antagonistin
Antänzer	Antänzerin
Anteilseigner	Anteilseignerin
Anthroposoph	Anthroposophin
Antialkoholiker	Antialkoholikerin
Antidemokrat	Antidemokratin
Antifaschist	Antifaschistin
Antiguaner	Antiguanerin
Antikommunist	Antikommunistin
Antimilitarist	Antimilitaristin
Antinomist	Antinomistin
Antiochier	Antiochierin
Antiquar	Antiquarin
Antiquitätensammler	Antiquitätensammlerin
Antisemit	Antisemitin
Antizionist	Antizionistin
Antragsgegner	Antragsgegnerin
Antragsteller	Antragstellerin
Antreiber	Antreiberin
Antwerpener	Antwerpenerin
Anwärter	Anwärterin
Anwohner	Anwohnerin
Anzettler	Anzettlerin
Aphasiker	Aphasikerin
Aphoristiker	Aphoristikerin
Apokalyptiker	Apokalyptikerin
Apologet	Apologetin
Apoplektiker	Apoplektikerin
Apostat	Apostatin
Apostel	Apostelin
Appellant	Appellantin
Appellat	Appellatin
Appenzeller	Appenzellerin
Applikant	Applikantin
Apulier	Apulierin
Aquanaut	Aquanautin
Aquarellist	Aquarellistin
Aquarellmaler	Aquarellmalerin
Aquarianer	Aquarianerin
Aquarienfreund	Aquarienfreundin
Aquarienliebhaber	Aquarienliebhaberin
Äquilibrist	Äquilibristin
Araber	Araberin
Arabist	Arabistin
Aragonier	Aragonierin
Aramäer	Aramäerin
Araukaner	Araukanerin
Arbeiterführer	Arbeiterführerin
Arbeiterfunktionär	Arbeiterfunktionärin
Arbeitervertreter	Arbeitervertreterin
Arbeiterveteran	Arbeiterveteranin
Arbeitgeber	Arbeitgeberin
Arbeitgebervertreter	Arbeitgebervertreterin
Arbeitnehmer	Arbeitnehmerin
Arbeitnehmervertreter	Arbeitnehmervertreterin
Arbeitsberater	Arbeitsberaterin
Arbeitsdirektor	Arbeitsdirektorin
Arbeitsemigrant	Arbeitsemigrantin
Arbeitsimmigrant	Arbeitsimmigrantin
Arbeitsinspektor	Arbeitsinspektorin
Arbeitsjubilar	Arbeitsjubilarin
Arbeitskamerad	Arbeitskameradin
Arbeitsmediziner	Arbeitsmedizinerin
Arbeitsminister	Arbeitsministerin
Arbeitsrechtler	Arbeitsrechtlerin
Arbeitsrichter	Arbeitsrichterin
Arbeitsvermittler	Arbeitsvermittlerin
Arbeitsvorbereiter	Arbeitsvorbereiterin
Archivassessor	Archivassessorin
Archivbenutzer	Archivbenutzerin
Archivdirektor	Archivdirektorin
Archivreferendar	Archivreferendarin
Argentinier	Argentinierin
Arianer	Arianerin
Arier	Arierin
Aristokrat	Aristokratin
Arithmetiker	Arithmetikerin
Arkadier	Arkadierin
Armeechef	Armeechefin
Armenier	Armenierin
Armenpfleger	Armenpflegerin
Armesünder	Armesünderin
Aroser	Aroserin
Arrangeur	Arrangeurin
Arrestant	Arrestantin
Arschkriecher	Arschkriecherin
Art-Direktor	Art-Direktorin
Artikelschreiber	Artikelschreiberin
Artillerist	Artilleristin
Artist	Artistin
